pre,after
PRE_Oracleinequalitiesforcomputationallybudgetedmodelselection,Oracleinequalitiesforcomputationallybudgetedmodelselection
PRE_BanditsQueryLearningandtheHaystackDimension,BanditsQueryLearningandtheHaystackDimension
PRE_MinimaxRegretofFinitePartialMonitoringGamesinStochasticEnvironments,MinimaxRegretofFinitePartialMonitoringGamesinStochasticEnvironments
PRE_SampleComplexityBoundsforDifferentiallyPrivateLearning,SampleComplexityBoundsforDifferentiallyPrivateLearning
PRE_Tightconditionsforconsistentvariableselectioninhighdimensionalnonparametricregression,Tightconditionsforconsistentvariableselectioninhighdimensionalnonparametricregression
PRE_MulticlassLearnabilityandtheERMprinciple,MulticlassLearnabilityandtheERMprinciple
PRE_MixabilityisBayesRiskCurvatureRelativetoLogLoss,MixabilityisBayesRiskCurvatureRelativetoLogLoss
PRE_DistributionIndependentEvolvabilityofLinearThresholdFunctions,DistributionIndependentEvolvabilityofLinearThresholdFunctions
PRE_LowerBoundsandHardnessAmplificationforLearningShallowMonotoneFormulas,LowerBoundsandHardnessAmplificationforLearningShallowMonotoneFormulas
PRE_ConcentrationBasedGuaranteesforLowRankMatrixReconstruction,ConcentrationBasedGuaranteesforLowRankMatrixReconstruction
PRE_OntheConsistencyofMultiLabelLearning,OntheConsistencyofMultiLabelLearning
PRE_TheKLUCBAlgorithmforBoundedStochasticBanditsandBeyond,TheKLUCBAlgorithmforBoundedStochasticBanditsandBeyond
PRE_SparsityRegretBoundsforIndividualSequencesinOnlineLinearRegression,SparsityRegretBoundsforIndividualSequencesinOnlineLinearRegression
PRE_Beyondtheregretminimizationbarrieranoptimalalgorithmforstochasticstronglyconvexoptimization,Beyondtheregretminimizationbarrieranoptimalalgorithmforstochasticstronglyconvexoptimization
PRE_MaximumLikelihoodvsSequentialNormalizedMaximumLikelihoodinOnlineDensityEstimation,MaximumLikelihoodvsSequentialNormalizedMaximumLikelihoodinOnlineDensityEstimation
PRE_ANewAlgorithmforCompressedCountingwithApplicationsinShannonEntropyEstimationinDynamicData,ANewAlgorithmforCompressedCountingwithApplicationsinShannonEntropyEstimationinDynamicData
PRE_AFiniteTimeAnalysisofMultiarmedBanditsProblemswithKullbackLeiblerDivergences,AFiniteTimeAnalysisofMultiarmedBanditsProblemswithKullbackLeiblerDivergences
PRE_Robustapproachabilityandregretminimizationingameswithpartialmonitoring,Robustapproachabilityandregretminimizationingameswithpartialmonitoring
PRE_TheRateofConvergenceofAdaboost,TheRateofConvergenceofAdaboost
PRE_SequentialEventPredictionwithAssociationRules,SequentialEventPredictionwithAssociationRules
PRE_Optimalaggregationofaffineestimators,Optimalaggregationofaffineestimators
PRE_CollaborativeFilteringwiththeTraceNormLearningBoundingandTransducing,CollaborativeFilteringwiththeTraceNormLearningBoundingandTransducing
PRE_AdaptiveDensityLevelSetClustering,AdaptiveDensityLevelSetClustering
PRE_AgnosticKWIKlearningandefficientapproximatereinforcementlearning,AgnosticKWIKlearningandefficientapproximatereinforcementlearning
PRE_TheSampleComplexityofDictionaryLearning,TheSampleComplexityofDictionaryLearning
PRE_IdentifiabilityofPriorsfromBoundedSampleSizeswithApplicationstoTransferLearning,IdentifiabilityofPriorsfromBoundedSampleSizeswithApplicationstoTransferLearning
PRE_MissingInformationImpedimentstoLearnability,MissingInformationImpedimentstoLearnability
PRE_LearningValuationFunctions,LearningValuationFunctions
PRE_UnifiedAlgorithmsforOnlineLearningandCompetitiveAnalysis,UnifiedAlgorithmsforOnlineLearningandCompetitiveAnalysis
PRE_OnlineOptimizationwithGradualVariations,OnlineOptimizationwithGradualVariations
PRE_TheOptimalityofJeffreysPriorforOnlineDensityEstimationandtheAsymptoticNormalityofMaximumLikelihoodEstimators,TheOptimalityofJeffreysPriorforOnlineDensityEstimationandtheAsymptoticNormalityofMaximumLikelihoodEstimators
PRE_PACBayesianBoundforGaussianProcessRegressionandMultipleKernelAdditiveModel,PACBayesianBoundforGaussianProcessRegressionandMultipleKernelAdditiveModel
PRE_ReconstructionfromAnisotropicRandomMeasurements,ReconstructionfromAnisotropicRandomMeasurements
PRE_L1CoveringNumbersforUniformlyBoundedConvexFunctions,L1CoveringNumbersforUniformlyBoundedConvexFunctions
PRE_GeneralizationBoundsforOnlineLearningAlgorithmswithPairwiseLossFunctions,GeneralizationBoundsforOnlineLearningAlgorithmswithPairwiseLossFunctions
PRE_AttributeEfficientLearningandWeightDegreeTradeoffsforPolynomialThresholdFunctions,AttributeEfficientLearningandWeightDegreeTradeoffsforPolynomialThresholdFunctions
PRE_LearningFunctionsofHalfspacesUsingPrefixCovers,LearningFunctionsofHalfspacesUsingPrefixCovers
PRE_ComputationalBoundsonStatisticalQueryLearning,ComputationalBoundsonStatisticalQueryLearning
PRE_LearningDNFExpressionsfromFourierSpectrum,LearningDNFExpressionsfromFourierSpectrum
PRE_ActiveLearningUsingSmoothRelativeRegretApproximationswithApplications,ActiveLearningUsingSmoothRelativeRegretApproximationswithApplications
PRE_RobustInteractiveLearning,RobustInteractiveLearning
PRE_RareProbabilityEstimationunderRegularlyVaryingHeavyTails,RareProbabilityEstimationunderRegularlyVaryingHeavyTails
PRE_CompetitiveClassificationandClosenessTesting,CompetitiveClassificationandClosenessTesting
PRE_KernelsBasedTestswithNonasymptoticBootstrapApproachesforTwosampleProblems,KernelsBasedTestswithNonasymptoticBootstrapApproachesforTwosampleProblems
PRE_DistributedLearningCommunicationComplexityandPrivacy,DistributedLearningCommunicationComplexityandPrivacy
PRE_AConjugatePropertybetweenLossFunctionsandUncertaintySetsinClassificationProblems,AConjugatePropertybetweenLossFunctionsandUncertaintySetsinClassificationProblems
PRE_NewBoundsforLearningIntervalswithImplicationsforSemiSupervisedLearning,NewBoundsforLearningIntervalswithImplicationsforSemiSupervisedLearning
PRE_TightBoundsonProperEquivalenceQueryLearningofDNF,TightBoundsonProperEquivalenceQueryLearningofDNF
PRE_DistancePreservingEmbeddingsforGeneralnDimensionalManifolds,DistancePreservingEmbeddingsforGeneralnDimensionalManifolds
PRE_ACorrelationClusteringApproachtoLinkClassificationinSignedNetworks,ACorrelationClusteringApproachtoLinkClassificationinSignedNetworks
PRE_SpectralClusteringofGraphswithGeneralDegreesintheExtendedPlantedPartitionModel,SpectralClusteringofGraphswithGeneralDegreesintheExtendedPlantedPartitionModel
PRE_TowardUnderstandingComplexSpacesGraphLaplaciansonManifoldswithSingularitiesandBoundaries,TowardUnderstandingComplexSpacesGraphLaplaciansonManifoldswithSingularitiesandBoundaries
PRE_ExactRecoveryofSparselyUsedDictionaries,ExactRecoveryofSparselyUsedDictionaries
PRE_AnalysisofThompsonSamplingfortheMultiarmedBanditProblem,AnalysisofThompsonSamplingfortheMultiarmedBanditProblem
PRE_AutonomousExplorationForNavigatingInMDPs,AutonomousExplorationForNavigatingInMDPs
PRE_TowardsMinimaxPoliciesforOnlineLinearOptimizationwithBanditFeedback,TowardsMinimaxPoliciesforOnlineLinearOptimizationwithBanditFeedback
PRE_OpenProblemBetterBoundsforOnlineLogisticRegression,OpenProblemBetterBoundsforOnlineLogisticRegression
PRE_OpenProblemAdversarialMultiarmedBanditswithLimitedAdvice,OpenProblemAdversarialMultiarmedBanditswithLimitedAdvice
PRE_OntheComplexityofBanditandDerivativeFreeStochasticConvexOptimization,OntheComplexityofBanditandDerivativeFreeStochasticConvexOptimization
PRE_ATheoreticalAnalysisofNDCGTypeRankingMeasures,ATheoreticalAnalysisofNDCGTypeRankingMeasures
PRE_Excessriskboundsformultitasklearningwithtracenormregularization,Excessriskboundsformultitasklearningwithtracenormregularization
PRE_HonestCompressionsandTheirApplicationtoCompressionSchemes,HonestCompressionsandTheirApplicationtoCompressionSchemes
PRE_Thepriceofbanditinformationinmulticlassonlineclassification,Thepriceofbanditinformationinmulticlassonlineclassification
PRE_EstimationofExtremeValuesandAssociatedLevelSetsofaRegressionFunctionviaSelectiveSampling,EstimationofExtremeValuesandAssociatedLevelSetsofaRegressionFunctionviaSelectiveSampling
PRE_RecoveringtheOptimalSolutionbyDualRandomProjection,RecoveringtheOptimalSolutionbyDualRandomProjection
PRE_OpportunisticStrategiesforGeneralizedNoRegretProblems,OpportunisticStrategiesforGeneralizedNoRegretProblems
PRE_OnlineLearningforTimeSeriesPrediction,OnlineLearningforTimeSeriesPrediction
PRE_BeatingBanditsinGraduallyEvolvingWorlds,BeatingBanditsinGraduallyEvolvingWorlds
PRE_InformationComplexityinBanditSubsetSelection,InformationComplexityinBanditSubsetSelection
PRE_PassiveLearningwithTargetRisk,PassiveLearningwithTargetRisk
PRE_Activeandpassivelearningoflinearseparatorsunderlogconcavedistributions,Activeandpassivelearningoflinearseparatorsunderlogconcavedistributions
PRE_Randomizedpartitiontreesforexactnearestneighborsearch,Randomizedpartitiontreesforexactnearestneighborsearch
PRE_SurrogateRegretBoundsfortheAreaUndertheROCCurveviaStronglyProperLosses,SurrogateRegretBoundsfortheAreaUndertheROCCurveviaStronglyProperLosses
PRE_AlgorithmsandHardnessforRobustSubspaceRecovery,AlgorithmsandHardnessforRobustSubspaceRecovery
PRE_PLALClusterbasedactivelearning,PLALClusterbasedactivelearning
PRE_LearningUsingLocalMembershipQueries,LearningUsingLocalMembershipQueries
PRE_SparseAdaptiveDirichletMultinomiallikeProcesses,SparseAdaptiveDirichletMultinomiallikeProcesses
PRE_Predictionbyrandomwalkperturbation,Predictionbyrandomwalkperturbation
PRE_ClassificationwithAsymmetricLabelNoiseConsistencyandMaximalDenoising,ClassificationwithAsymmetricLabelNoiseConsistencyandMaximalDenoising
PRE_GeneralOracleInequalitiesforGibbsPosteriorwithApplicationtoRanking,GeneralOracleInequalitiesforGibbsPosteriorwithApplicationtoRanking
PRE_LearningHalfspacesUnderLogConcaveDensitiesPolynomialApproximationsandMomentMatching,LearningHalfspacesUnderLogConcaveDensitiesPolynomialApproximationsandMomentMatching
PRE_ConsistencyofRobustKernelDensityEstimators,ConsistencyofRobustKernelDensityEstimators
PRE_RegretMinimizationforBranchingExperts,RegretMinimizationforBranchingExperts
PRE_HorizonIndependentOptimalPredictionwithLogLossinExponentialFamilies,HorizonIndependentOptimalPredictionwithLogLossinExponentialFamilies
PRE_OnlineSimilarityPredictionofNetworkedDatafromKnownandUnknownGraphs,OnlineSimilarityPredictionofNetworkedDatafromKnownandUnknownGraphs
PRE_Anearoptimalalgorithmforfinitepartialmonitoringgamesagainstadversarialopponents,Anearoptimalalgorithmforfinitepartialmonitoringgamesagainstadversarialopponents
PRE_RepresentationApproximationandLearningofSubmodularFunctionsUsingLowrankDecisionTrees,RepresentationApproximationandLearningofSubmodularFunctionsUsingLowrankDecisionTrees
PRE_OptimalProbabilityEstimationwithApplicationstoPredictionandClassification,OptimalProbabilityEstimationwithApplicationstoPredictionandClassification
PRE_PolynomialTimeOptimalQueryAlgorithmsforFindingGraphswithArbitraryRealWeights,PolynomialTimeOptimalQueryAlgorithmsforFindingGraphswithArbitraryRealWeights
PRE_ATensorSpectralApproachtoLearningMixedMembershipCommunityModels,ATensorSpectralApproachtoLearningMixedMembershipCommunityModels
PRE_EfficientLearningofSimplices,EfficientLearningofSimplices
PRE_ComplexityTheoreticLowerBoundsforSparsePrincipalComponentDetection,ComplexityTheoreticLowerBoundsforSparsePrincipalComponentDetection
PRE_OpenProblemTightnessofmaximumlikelihoodsemidefiniterelaxations,OpenProblemTightnessofmaximumlikelihoodsemidefiniterelaxations
PRE_DistributionindependentReliableLearning,DistributionindependentReliableLearning
PRE_UniquenessofOrdinalEmbedding,UniquenessofOrdinalEmbedding
PRE_BayesOptimalScorersforBipartiteRanking,BayesOptimalScorersforBipartiteRanking
PRE_LearningSparselyUsedOvercompleteDictionaries,LearningSparselyUsedOvercompleteDictionaries
PRE_LogisticRegressionTightBoundsforStochasticandOnlineOptimization,LogisticRegressionTightBoundsforStochasticandOnlineOptimization
PRE_StochasticRegretMinimizationviaThompsonSampling,StochasticRegretMinimizationviaThompsonSampling
PRE_ApproachabilityinunknowngamesOnlinelearningmeetsmultiobjectiveoptimization,ApproachabilityinunknowngamesOnlinelearningmeetsmultiobjectiveoptimization
PRE_SampleCompressionforMultilabelConceptClasses,SampleCompressionforMultilabelConceptClasses
PRE_Findingamostbiasedcoinwithfewestflips,Findingamostbiasedcoinwithfewestflips
PRE_VolumetricSpannersanEfficientExplorationBasisforLearning,VolumetricSpannersanEfficientExplorationBasisforLearning
PRE_lil’UCBAnOptimalExplorationAlgorithmforMultiArmedBandits,lil’UCBAnOptimalExplorationAlgorithmforMultiArmedBandits
PRE_AnInequalitywithApplicationstoStructuredSparsityandMultitaskDictionaryLearning,AnInequalitywithApplicationstoStructuredSparsityandMultitaskDictionaryLearning
PRE_ElicitationandIdentificationofProperties,ElicitationandIdentificationofProperties
PRE_Densitypreservingquantizationwithapplicationtographdownsampling,Densitypreservingquantizationwithapplicationtographdownsampling
PRE_Efficiencyofconformalizedridgeregression,Efficiencyofconformalizedridgeregression
PRE_ComputationalLimitsforMatrixCompletion,ComputationalLimitsforMatrixCompletion
PRE_RobustMultiobjectiveLearningwithMentorFeedback,RobustMultiobjectiveLearningwithMentorFeedback
PRE_UniquenessofTensorDecompositionswithApplicationstoPolynomialIdentifiability,UniquenessofTensorDecompositionswithApplicationstoPolynomialIdentifiability
PRE_LocalizedComplexitiesforTransductiveLearning,LocalizedComplexitiesforTransductiveLearning
PRE_OntheConsistencyofOutputCodeBasedLearningAlgorithmsforMulticlassLearningProblems,OntheConsistencyofOutputCodeBasedLearningAlgorithmsforMulticlassLearningProblems
PRE_EdgeLabelInferenceinGeneralizedStochasticBlockModelsfromSpectralTheorytoImpossibilityResults,EdgeLabelInferenceinGeneralizedStochasticBlockModelsfromSpectralTheorytoImpossibilityResults
PRE_FollowtheLeaderwithDropoutPerturbations,FollowtheLeaderwithDropoutPerturbations
PRE_UnconstrainedOnlineLinearLearninginHilbertSpacesMinimaxAlgorithmsandNormalApproximations,UnconstrainedOnlineLinearLearninginHilbertSpacesMinimaxAlgorithmsandNormalApproximations
PRE_TheGeometryofLosses,TheGeometryofLosses
PRE_TheMoretheMerriertheBlessingofDimensionalityforLearningLargeGaussianMixtures,TheMoretheMerriertheBlessingofDimensionalityforLearningLargeGaussianMixtures
PRE_NearOptimalHerding,NearOptimalHerding
PRE_FasterandSampleNearOptimalAlgorithmsforProperLearningMixturesofGaussians,FasterandSampleNearOptimalAlgorithmsforProperLearningMixturesofGaussians
PRE_OpenProblemThelandscapeofthelosssurfacesofmultilayernetworks,OpenProblemThelandscapeofthelosssurfacesofmultilayernetworks
PRE_OpenProblemOnlineSabotagedShortestPath,OpenProblemOnlineSabotagedShortestPath
PRE_OnConsistentSurrogateRiskMinimizationandPropertyElicitation,OnConsistentSurrogateRiskMinimizationandPropertyElicitation
PRE_LearningOvercompleteLatentVariableModelsthroughTensorMethods,LearningOvercompleteLatentVariableModelsthroughTensorMethods
PRE_EfficientRepresentationsforLifelongLearningandAutoencoding,EfficientRepresentationsforLifelongLearningandAutoencoding
PRE_OptimallyCombiningClassifiersUsingUnlabeledData,OptimallyCombiningClassifiersUsingUnlabeledData
PRE_MinimaxFixedDesignLinearRegression,MinimaxFixedDesignLinearRegression
PRE_LearnabilityofSolutionstoConjunctiveQueriesTheFullDichotomy,LearnabilityofSolutionstoConjunctiveQueriesTheFullDichotomy
PRE_SequentialInformationMaximizationWhenisGreedyNearoptimal?,SequentialInformationMaximizationWhenisGreedyNearoptimal?
PRE_EfficientSamplingforGaussianGraphicalModelsviaSpectralSparsification,EfficientSamplingforGaussianGraphicalModelsviaSpectralSparsification
PRE_StochasticBlockModelandCommunityDetectioninSparseGraphsAspectralalgorithmwithoptimalrateofrecovery,StochasticBlockModelandCommunityDetectioninSparseGraphsAspectralalgorithmwithoptimalrateofrecovery
PRE_OnLineLearningAlgorithmsforPathExpertswithNonAdditiveLosses,OnLineLearningAlgorithmsforPathExpertswithNonAdditiveLosses
PRE_TruthfulLinearRegression,TruthfulLinearRegression
PRE_APTASforAgnosticallyLearningHalfspaces,APTASforAgnosticallyLearningHalfspaces
PRE_S2AnEfficientGraphBasedActiveLearningAlgorithmwithApplicationtoNonparametricClassification,S2AnEfficientGraphBasedActiveLearningAlgorithmwithApplicationtoNonparametricClassification
PRE_ContextualDuelingBandits,ContextualDuelingBandits
PRE_BeyondHartiganConsistencyMergeDistortionMetricforHierarchicalClustering,BeyondHartiganConsistencyMergeDistortionMetricforHierarchicalClustering
PRE_FasterAlgorithmsforTestingunderConditionalSampling,FasterAlgorithmsforTestingunderConditionalSampling
PRE_FromAveragingtoAccelerationThereisOnlyaStepsize,FromAveragingtoAccelerationThereisOnlyaStepsize
PRE_VectorValuedPropertyElicitation,VectorValuedPropertyElicitation
PRE_AChainingAlgorithmforOnlineNonparametricRegression,AChainingAlgorithmforOnlineNonparametricRegression
PRE_ThompsonSamplingforLearningParameterizedMarkovDecisionProcesses,ThompsonSamplingforLearningParameterizedMarkovDecisionProcesses
PRE_AdaptiveRecoveryofSignalsbyConvexOptimization,AdaptiveRecoveryofSignalsbyConvexOptimization
PRE_Tensorprincipalcomponentanalysisviasumofsquareproofs,Tensorprincipalcomponentanalysisviasumofsquareproofs
PRE_FastExactMatrixCompletionwithFiniteSamples,FastExactMatrixCompletionwithFiniteSamples
PRE_ExpConcavityofProperCompositeLosses,ExpConcavityofProperCompositeLosses
PRE_OnLearningDistributionsfromtheirSamples,OnLearningDistributionsfromtheirSamples
PRE_MCMCLearning,MCMCLearning
PRE_OnlinePCAwithSpectralBounds,OnlinePCAwithSpectralBounds
PRE_RegretLowerBoundandOptimalAlgorithminDuelingBanditProblem,RegretLowerBoundandOptimalAlgorithminDuelingBanditProblem
PRE_SecondorderQuantileMethodsforExpertsandCombinatorialGames,SecondorderQuantileMethodsforExpertsandCombinatorialGames
PRE_LowRankMatrixCompletionwithExponentialFamilyNoise,LowRankMatrixCompletionwithExponentialFamilyNoise
PRE_BadUniversalPriorsandNotionsofOptimality,BadUniversalPriorsandNotionsofOptimality
PRE_AchievingAllwithNoParametersAdaNormalHedge,AchievingAllwithNoParametersAdaNormalHedge
PRE_LowerandUpperBoundsontheGeneralizationofStochasticExponentiallyConcaveOptimization,LowerandUpperBoundsontheGeneralizationofStochasticExponentiallyConcaveOptimization
PRE_CorrelationClusteringwithNoisyPartialInformation,CorrelationClusteringwithNoisyPartialInformation
PRE_OnlineDensityEstimationofBradleyTerryModels,OnlineDensityEstimationofBradleyTerryModels
PRE_Firstorderregretboundsforcombinatorialsemibandits,Firstorderregretboundsforcombinatorialsemibandits
PRE_NormBasedCapacityControlinNeuralNetworks,NormBasedCapacityControlinNeuralNetworks
PRE_CorticalLearningviaPrediction,CorticalLearningviaPrediction
PRE_FastMixingforDiscretePointProcesses,FastMixingforDiscretePointProcesses
PRE_GeneralizedMixabilityviaEntropicDuality,GeneralizedMixabilityviaEntropicDuality
PRE_AnAlmostOptimalPACAlgorithm,AnAlmostOptimalPACAlgorithm
PRE_InteractiveFingerprintingCodesandtheHardnessofPreventingFalseDiscovery,InteractiveFingerprintingCodesandtheHardnessofPreventingFalseDiscovery
PRE_ConvexRiskMinimizationandConditionalProbabilityEstimation,ConvexRiskMinimizationandConditionalProbabilityEstimation
PRE_RegularizedLinearRegressionAPreciseAnalysisoftheEstimationError,RegularizedLinearRegressionAPreciseAnalysisoftheEstimationError
PRE_MaxvsMinTensorDecompositionandICAwithnearlyLinearSampleComplexity,MaxvsMinTensorDecompositionandICAwithnearlyLinearSampleComplexity
PRE_OnConvergenceofEmphaticTemporalDifferenceLearning,OnConvergenceofEmphaticTemporalDifferenceLearning
PRE_OpenProblemKernelmethodsonmanifoldsandmetricspacesWhatistheprobabilityofapositivedefinitegeodesicexponentialkernel?,OpenProblemKernelmethodsonmanifoldsandmetricspacesWhatistheprobabilityofapositivedefinitegeodesicexponentialkernel?
PRE_OpenProblemPropertyElicitationandElicitationComplexity,OpenProblemPropertyElicitationandElicitationComplexity
PRE_LearningandTestingJuntaDistributions,LearningandTestingJuntaDistributions
PRE_SignrankversusVCdimension,SignrankversusVCdimension
PRE_Efficientapproachesforescapinghigherordersaddlepointsinnonconvexoptimization,Efficientapproachesforescapinghigherordersaddlepointsinnonconvexoptimization
PRE_MonteCarloMarkovChainAlgorithmsforSamplingStronglyRayleighDistributionsandDeterminantalPointProcesses,MonteCarloMarkovChainAlgorithmsforSamplingStronglyRayleighDistributionsandDeterminantalPointProcesses
PRE_ReinforcementLearningofPOMDPsusingSpectralMethods,ReinforcementLearningofPOMDPsusingSpectralMethods
PRE_HighlySmoothZerothOrderOnlineOptimization,HighlySmoothZerothOrderOnlineOptimization
PRE_AnImprovedGapDependencyAnalysisoftheNoisyPowerMethod,AnImprovedGapDependencyAnalysisoftheNoisyPowerMethod
PRE_LearningCombinatorialFunctionsfromPairwiseComparisons,LearningCombinatorialFunctionsfromPairwiseComparisons
PRE_InstancedependentRegretBoundsforDuelingBandits,InstancedependentRegretBoundsforDuelingBandits
PRE_Onthelowrankapproachforsemidefiniteprogramsarisinginsynchronizationandcommunitydetection,Onthelowrankapproachforsemidefiniteprogramsarisinginsynchronizationandcommunitydetection
PRE_NoisyTensorCompletionviatheSumofSquaresHierarchy,NoisyTensorCompletionviatheSumofSquaresHierarchy
PRE_AggregationofsupportsalongtheLassopath,AggregationofsupportsalongtheLassopath
PRE_DroppingConvexityforFasterSemidefiniteOptimization,DroppingConvexityforFasterSemidefiniteOptimization
PRE_Tight(Lower)BoundsfortheFixedBudgetBestArmIdentificationBanditProblem,Tight(Lower)BoundsfortheFixedBudgetBestArmIdentificationBanditProblem
PRE_OntheApproximabilityofSparsePCA,OntheApproximabilityofSparsePCA
PRE_PureExplorationofMultiarmedBanditUnderMatroidConstraints,PureExplorationofMultiarmedBanditUnderMatroidConstraints
PRE_Provablymanipulationresistantreputationsystems,Provablymanipulationresistantreputationsystems
PRE_OntheExpressivePowerofDeepLearningATensorAnalysis,OntheExpressivePowerofDeepLearningATensorAnalysis
PRE_AdaptiveLearningwithRobustGeneralizationGuarantees,AdaptiveLearningwithRobustGeneralizationGuarantees
PRE_ComplexityTheoreticLimitationsonLearningDNF’s,ComplexityTheoreticLimitationsonLearningDNF’s
PRE_OptimalLearningviatheFourierTransformforSumsofIndependentIntegerRandomVariables,OptimalLearningviatheFourierTransformforSumsofIndependentIntegerRandomVariables
PRE_ProperlyLearningPoissonBinomialDistributionsinAlmostPolynomialTime,ProperlyLearningPoissonBinomialDistributionsinAlmostPolynomialTime
PRE_Asymptoticbehaviorofell_pbasedLaplacianregularizationinsemisupervisedlearning,Asymptoticbehaviorofell_pbasedLaplacianregularizationinsemisupervisedlearning
PRE_ThePowerofDepthforFeedforwardNeuralNetworks,ThePowerofDepthforFeedforwardNeuralNetworks
PRE_Spectralthresholdsinthebipartitestochasticblockmodel,Spectralthresholdsinthebipartitestochasticblockmodel
PRE_PreferencebasedTeaching,PreferencebasedTeaching
PRE_OptimalBestArmIdentificationwithFixedConfidence,OptimalBestArmIdentificationwithFixedConfidence
PRE_MaximinActionIdentificationANewBanditFrameworkforGames,MaximinActionIdentificationANewBanditFrameworkforGames
PRE_SemidefiniteProgramsforExactRecoveryofaHiddenCommunity,SemidefiniteProgramsforExactRecoveryofaHiddenCommunity
PRE_Optimalratesfortotalvariationdenoising,Optimalratesfortotalvariationdenoising
PRE_OnlineIsotonicRegression,OnlineIsotonicRegression
PRE_Timeseriespredictionandonlinelearning,Timeseriespredictionandonlinelearning
PRE_GradientDescentOnlyConvergestoMinimizers,GradientDescentOnlyConvergestoMinimizers
PRE_Onthecapacityofinformationprocessingsystems,Onthecapacityofinformationprocessingsystems
PRE_DensityEvolutionintheDegreecorrelatedStochasticBlockModel,DensityEvolutionintheDegreecorrelatedStochasticBlockModel
PRE_CorticalComputationviaIterativeConstructions,CorticalComputationviaIterativeConstructions
PRE_WhencanwerankwellfromcomparisonsofO(nlog(n))nonactivelychosenpairs?,WhencanwerankwellfromcomparisonsofO(nlog(n))nonactivelychosenpairs?
PRE_Howtocalculatepartitionfunctionsusingconvexprogramminghierarchiesprovableboundsforvariationalmethods,Howtocalculatepartitionfunctionsusingconvexprogramminghierarchiesprovableboundsforvariationalmethods
